movie_name,director,cast_name,country_name,subgenre_name
Kin-dza-dza!,Georgi Daneliya,"Stanislav Lyubshin, Yevgeni Leonov, Yury Yakovlev",Soviet Union,"
"
"Little Shop of Horrors
","Frank Oz
","Rick Moranis, Ellen Greene, Vincent Gardenia, Steve Martin, Levi Stubbs (voice)
","United Stage
","Musical comedy horror
"
Maximum Overdrive,Stephen King,"Emilio Estevez, Pat Hingle, Laura Harrington",United States,"
"
Night of the Creeps,Fred Dekker,"Jason Lively, Steve Marshall, Jill Whitlow",United States,"
"
Programmed to Kill,Allan Holzman,"Robert Ginty, Sandahl Bergman, Louise Claire Clark, Alex Courtney",United States,"[50]
"
Project A-ko,Katsuhiko Nishijima,,Japan,"
"
Short Circuit,John Badham,"Ally Sheedy, Steve Guttenberg, Fisher Stevens",United States,"
"
Star Crystal,Lance Lindsay,"C. Juston Campbell, Faye Bolt, John W. Smith",United States,"
"
Star Trek IV: The Voyage Home,Leonard Nimoy,"William Shatner, Leonard Nimoy, DeForest Kelley, Catherine Hicks",United States,"
"
TerrorVision,Ted Nicolaou,"Diane Franklin, Gerrit Graham, Mary Woronov",United States,"Horror[51]
"
They Were Eleven,Satoshi Dezaki,,Japan,"
"
The Transformers: The Movie,Nelson Shin,"Leonard Nimoy (voice), Robert Stack (voice), Judd Nelson (voice), Orson Welles (voice), Peter Cullen (voice)",United States,"Animated film
"
Urusei Yatsura 4: Lum the Forever,Kazuo Yamazaki,"Fumi Hirano (voice), Toshio Furukawa (voice), Akira Kamiya (voice)",Japan,"Fourth film in the Urusei Yatsura film series
"
Vendetta dal futuro,Sergio Martino,"Daniel Greene, Janet Agren, John Saxon",Italy,"
"
The Wraith,Mike Marvin,"Charlie Sheen, Nick Cassavetes, Randy Quaid",United States,"
"
Zone Troopers,Danny Bilson,"Tim Thomerson, Tim Van Patten",United States,"[52]
"
*batteries not included,Matthew Robbins,"Hume Cronyn, Jessica Tandy, Frank McRae",United States,"
"
Amazon Women on the Moon,John Landis,"Arsenio Hall, Michelle Pfeiffer, Steve Guttenberg",United States,"
"
Bad Taste,Peter Jackson,"Peter Jackson, Mike Minett, Pete O'Herne",New Zealand,"Horror, Comedy
"
Cherry 2000,Steve De Jarnatt,"Melanie Griffith, David Andrews",United States,"
"
Creepozoids,David DeCoteau,"Linnea Quigley, Ashlyn Gere",United States,"
"
Cyclops,Jôji Iida,"Kai Atō, Yoshimasa Kondo, Kazuhiro Sano",Japan,"
"
The Curse,"David Chaskin, David Keith","Wil Wheaton, Claude Akins, Malcolm Danare",United States,"[53]
"
Death Run,Michael J. Murphy,"Rob Bartlett, Lynn Lowry",United States,"
"
Direct Hit,Vladimir Morozov,,Soviet Union,"Animated short film. Russian title: Прямое попадание, tr. Pryamoye popadaniye[54]
"
The Dolphin's Cry,Aleksey Saltykov,"Ivars Kalniņš, Donatas Banionis, Armen Dzhigarkhanyan",Soviet Union,"
"
The End of Eternity,Andrey Yermash,"Oleg Vavilov, Gediminas Girdvainis, Georgiy Zhzhonov",Soviet Union,"
"
The Hidden,Jack Sholder,"Kyle MacLachlan, Michael Nouri, Claudia Christian",United States,"
"
Innerspace,Joe Dante,"Dennis Quaid, Martin Short, Meg Ryan",United States,"[nb 19]
"
The Kindred,"Stephen Carpenter, Jeffrey Obrow","David Allen Brooks, Rod Steiger, Amanda Pays",United States,"[55]
"
The Lesson,Robert Sahakyants,,Soviet Union,"Animated short film
"
Making Mr. Right,Susan Seidelman,"John Malkovich, Ann Magnuson, Glenne Headly",United States,"
"
Masters of the Universe,Gary Goddard,"Dolph Lundgren, Frank Langella, Meg Foster",United States,"
"
Mr. India,Shekhar Kapur,"Anil Kapoor, Sri Devi, Satish Kaushik, Amrish Puri, Annu Kapoor",India,"
"
Nightflyers,"Robert Collector, Gene Warren","Catherine Mary Stewart, John Standing, Michael Praed, Lisa Blount",United States,"[56]
"
Predator,John McTiernan,"Arnold Schwarzenegger, Carl Weathers, Elpidia Carrillo",United States,"Action
"
Prison Ship,Fred Olen Ray,"Ross Hagen, Sandy Brooke, Susan Stokey, John Carradine",United States,"[nb 20][57][58]
"
Project X,Jonathan Kaplan,"Matthew Broderick, Helen Hunt, William Sadler",United States,"
"
RoboCop,Paul Verhoeven,"Peter Weller, Nancy Allen, Ronny Cox, Kurtwood Smith",United States,"Action[nb 21]
"
Royal Space Force: The Wings of Honnêamise,Hiroyuki Yamaga,,Japan,"
"
The Running Man,Paul Michael Glaser,"Arnold Schwarzenegger, María Conchita Alonso, Richard Dawson",United States,"
"
Spaceballs,Mel Brooks,"Mel Brooks, Bill Pullman, John Candy, Rick Moranis, Daphne Zuniga",United States,"
"
Slave Girls from Beyond Infinity,Ken Dixon,"Elizabeth Kaitan, Cindy Beal, Brinke Stevens",United States,"
"
Steel Dawn,Lance Hool,"Patrick Swayze, Lisa Niemi, Brion James",United States,"
"
The Stepford Children,Alan J. Levi,"Barbara Eden, Don Murray, Randall Batinkoff, Tammy Lauren",United States,"
"
Timestalkers,Michael Schultz,"William Devane, Lauren Hutton, Forrest Tucker, James Avery, John Ratzenberger",United States,"
"
Superman IV: The Quest for Peace,Sidney J. Furie,"Christopher Reeve, Gene Hackman, Jackie Cooper, Margot Kidder, Mariel Hemingway, Jon Cryer, Sam Wanamaker",United States,"
"
The Veldt,Nozim To'laxo'jayev,"Yuriy Belyayev, Nelli Pshyonnaya, Giorgi Gegechkori",Soviet Union,"Dystopian
"
Wicked City,Yoshiaki Kawajiri,,Japan,"Anime film
"
The 13th Apostle,Suren Babayan,"Juozas Budraitis, Andrey Boltnev, Vladas Bagdonas",Soviet Union,"
"
Akira,Katsuhiro Ōtomo,"Mitsuo Iwata (voice), Nozomu Sasaki (voice), Mami Koyama (voice)",Japan,"Anime film
"
Alien from L.A.,Albert Pyun,"Kathy Ireland, Thom Mathews, Don Michael Paul",United States,"
"
Alien Nation,Graham Baker,"James Caan, Mandy Patinkin, Terence Stamp",United States,"[nb 22]
"
Andy Colby's Incredible Adventure,Deborah Brock,"Randy Josselyn, Dianne Kay, Chuck Kovacic",United States,"
"
As Time Goes By,Barry Peak,"Max Gillies, Bruno Lawrence, Nique Needles",Australia,"Comedy
"
The Blob,Chuck Russell,"Kevin Dillon, Shawnee Smith, Donovan Leitch",United States,"Horror, Remake
"
The Brain,Edward Hunt,"Tom Bresnahan, Cynthia Preston, David Gale",Canada,"Horror[59]
"
Critters 2: The Main Course,Mick Garris,"Scott Grimes, Liane Alexandra Curtis, Don Opper",United States,"
"
Dead Heat,Mark Goldblatt,"Treat Williams, Joe Piscopo, Vincent Price",United States,"Sci-fi horror[60]
"
Earth Girls Are Easy,Julien Temple,"Geena Davis, Jeff Goldblum, Julie Brown, Jim Carrey, Damon Wayans, Michael McKean",United StatesUnited Kingdom,"
"
Gandahar,René Laloux,,France,"Animated film
"
Hell Comes to Frogtown,"Donald G. Jackson, R. J. Kizer","Roddy Piper, Sandahl Bergman, Cec Verrell, William Smith, Rory Calhoun",United States,"
"
Killer Klowns from Outer Space,Stephen Chiodo,"Grant Cramer, Suzanne Snyder, John Allen Nelson",United States,"Horror, Comedy
"
The Lawless Land,Jon Hess,"Nick Corri, Leon Robinson, Xander Berkeley, Amanda Peterson",United States,"[61][62]
"
Legend of the Galactic Heroes: My Conquest is the Sea of Stars,Noboru Ishiguro,"Ryō Horikawa (voice), Kei Tomiyama (voice)",Japan,"
"
Lilac Ball,Pavel Arsenov,"Natalya Guseva, Sasha Gusev, Boris Shcherbakov",Soviet Union,"Children's film
"
Mac and Me,Stewart Ratfill,"Christine Ebersole, Tina Caspary, Jonathan Ward",United States,"[63][nb 23]
"
Midnight Movie Massacre,"Mark Stock, Larry Jacobs","Robert Clarke, Anne Robinson, David Staffer, Tom Hutsler",United States,"[64][65]
"
Miracle Mile,Steve De Jarnatt,"Anthony Edwards, Mare Winningham, John Agar",United States,"
"
Mirai Ninja,Keita Amemiya,"Hanbei Kawai, Hiroki Ida, Eri Morishita",Japan,"Action
"
Mobile Suit Gundam: Char's Counterattack,Yoshiyuki Tomino,,Japan,"
"
Moonwalker,"Jerry Kramer, Colin Chilvers","Michael Jackson, Joe Pesci, Sean Lennon",United States,"The Smooth Criminal segment is a noir/sci-fi film
"
My Stepmother Is an Alien,Richard Benjamin,"Kim Basinger, Dan Aykroyd, Alyson Hannigan, Jon Lovitz",United States,"
"
The Nest,Terence H. Winkless,"Robert Lansing, Lisa Langlois",United States,"
"
Not of This Earth,Jim Wynorski,"Traci Lords, Arthur Roberts",United States,"
"
On the Silver Globe,Andrzej Zulawski,"Andrzej Seweryn, Grazyna Dylag, Jerzy Trela",Poland,"Art film
"
The Pass,Vladimir Tarasov,"Aleksandr Kaydanovskiy (voice), Vasiliy Livanov (voice), Aleksandr Pashutin (voice)",Soviet Union,"Animated short film
"
Pulse,Paul Golding,"Cliff DeYoung, Roxanne Hart, Joey Lawrence",United States,"
"
Robowar,Bruno Mattei,"Reb Brown, Catherine Hickland, Massimo Vanni",Italy,"
"
Short Circuit 2,Kenneth Johnson,"Fisher Stevens, Michael McKean, Cynthia Gibb",United States,"
"
Space Mutiny,"David Winters, Neal Sundstrom","Reb Brown, Cameron Mitchell, Cisse Cameron",South Africa,"Science fiction action[66]
"
They Live,John Carpenter,"Roddy Piper, Keith David, Meg Foster",United States,"Action
"
Transformations,Jay Kamen,"Rex Smith, Lisa Langlois, Patrick Macnee",United States,"[67]
"
Urusei Yatsura: The Final Chapter,Satoshi Dezaki,"Fumi Hirano (voice), Toshio Furukawa (voice), Akira Kamiya (voice)",Japan,"Fifth film in the Urusei Yatsura film series
"
Warlords,"Fred Olen Ray, Sid Haig","David Carradine, Dawn Wildsmith, Sid Haig",United States,"[68]
"
Wind,Robert Sahakyants,,Soviet Union,"Animated short film. Russian title: Ветер, tr. Veter. Armenian title: Քամի[69][70]
"
World Gone Wild,Lee H. Katzin,"Bruce Dern, Michael Paré, Catherine Mary Stewart",United States,"[71]
"
Alienator,Fred Olen Ray,"Jan-Michael Vincent, John Phillip Law, Ross Hagen",United States,"
"
Alien Seed,Bob James,Erik Estrada,United States,"
"
Arena,Peter Manoogian,"Claudia Christian, Marc Alaimo",Italy,"
"
The Abyss,James Cameron,"Ed Harris, Mary Elizabeth Mastrantonio, Michael Biehn",United States,"[nb 24]
"
Back to the Future Part II,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson",United States,"Time travel film
"
Bill & Ted's Excellent Adventure,Stephen Herek,"Keanu Reeves, Alex Winter, George Carlin",United States,"Comedy, time travel film
"
The Blood of Heroes,David Webb Peoples,"Rutger Hauer, Joan Chen, Delroy Lindo",AustraliaUnited States,"[72][73]
"
Bunker Palace Hôtel,Enki Bilal,"Jean-Louis Trintignant, Carole Bouquet, Benoît Régent",France,"[74]
"
Communion,Philippe Mora,"Christopher Walken, Lindsay Crouse, Frances Sternhagen",United States,"
"
Cyborg,Albert Pyun,"Jean-Claude Van Damme, Deborah Richter",United States,"
"
Deceit,Albert Pyun,"Sam Phillips, Norbert Weisser, Scott Paulin",United States,"
"
DeepStar Six,Sean S. Cunningham,"Taurean Blacque, Nancy Everhard",United States,"
"
The Evil Below,Wayne Crawford,"Wayne Crawford, June Chadwick, Paul Siebert",United States,"
"
The Five Star Stories,Kazuo Yamazaki,,Japan,"
"
Ghostbusters II,Ivan Reitman,"Bill Murray, Dan Aykroyd, Harold Ramis, Sigourney Weaver, Ernie Hudson, Rick Moranis, Annie Potts, Peter MacNicol",United States,"Horror, Comedy
"
Godzilla vs. Biollante,Kazuki Ōmori,"Megumi Odaka, Yasuka Sawaguchi",Japan,"Kaijū
"
Gunhed,Masato Harada,"Masahiro Takashima, Brenda Bakke",Japan,"
"
Hard to Be a God,Peter Fleischmann,"Edward Zentara, Aleksandr Filippenko, Hugues Quester, Anne Gautier",West GermanySoviet UnionFranceSwitzerland,"
"
"Honey, I Shrunk the Kids",Joe Johnston,"Rick Moranis, Matt Frewer, Marcia Strassman",United States,"
"
Jetsons: The Movie,"Joseph Barbera, William Hanna","George O'Hanlon (voice), Mel Blanc (voice), Penny Singleton (voice)",United States,"Animated film
"
Journey to the center of the earth,Albert Pyun,Kathy Ireland,United States,"
"
Leviathan,George Pan Cosmatos,"Peter Weller, Richard Crenna, Amanda Pays, Daniel Stern",ItalyUnited States,"
"
Lords of the Deep,Mary Ann Fisher,"Bradford Dillman, Priscilla Barnes, Melody Ryane",United States,"
"
Meet the Hollowheads,Thomas R. Burman,"John Glover, Richard Portnow, Juliette Lewis",United States,"[75][76]
"
Millennium,Michael Anderson,"Kris Kristofferson, Cheryl Ladd, Daniel J. Travanti, Robert Joy",United States,"
"
Moontrap,Robert Dyke,"Walter Koenig, Bruce Campbell, Leigh Lombardi",United States,"
"
Mutant on the Bounty,Robert Torrance,"Kyle T. Heffner, Scott Williamson, John Durbin",United States,"[77]
"
My 20th Century,Ildikó Enyedi,"Dorota Segda, Oleg Yankovskiy, Paulus Manker",HungaryWest GermanyCuba,"Comedy-drama
"
Patlabor: The Movie,Mamoru Oshii,,Japan,"
"
The Return of Swamp Thing,Jim Wynorski,"Louis Jourdan, Heather Locklear, Sarah Douglas",United States,"
"
Slipstream,Steven Lisberger,"Mark Hamill, Bob Peck, Bill Paxton, Ben Kingsley, F. Murray Abraham",United KingdomUnited States,"
"
Spontaneous Combustion,Tobe Hooper,Brad Dourif,United States,"
"
Star Trek V: The Final Frontier,William Shatner,"William Shatner, Leonard Nimoy, DeForest Kelley, James Doohan",United States,"[nb 25]
"
The Terror Within,Thierry Notz,"George Kennedy, Andrew Stevens, Starr Andreeff",United States,"Horror
"
Tetsuo: The Iron Man,Shinya Tsukamoto,"Tomoroh Taguchi, Kei Fujiwara, Shinya Tsukamoto",Japan,"Horror, Comedy
"
"UFO Abduction
","Dean Alioto
","
","United Stages
","Horror, found footage
"
Venus Wars,Yoshikazu Yasuhiko,,Japan,"
"
A Visitor to a Museum,Konstantin Lopushansky,"Viktor Mikhaylov, Vera Mayorova, Vadim Lobanov, Irina Rakshina",Soviet UnionSwitzerlandWest Germany,"[78]
"
